date,HOME DEPOT,MCDONALDS,BOOKING,TJX,LOWES,STARBUCKS,OREILLY AUTOMOTIVE,DOORDASH,NIKE,CHIPOTLE MEXICAN GRILL,ROYAL CARIBBEAN GROUP,AUTOZONE,HILTON WORLDWIDE,MARRIOTT INTERNATIONAL,AIRBNB,GENERAL MOTORS,ROSS STORES,YUM BRANDS,FORD MOTOR CO,LULULEMON ATHLETICA,CARVANA,EBAY,D R HORTON,COUPANG,GARMIN,TRACTOR SUPPLY,DARDEN RESTAURANTS,CARNIVAL,LENNAR A,ULTA BEAUTY,EXPEDIA GROUP,PULTEGROUP,NVR,WILLIAMS SONOMA,DUOLINGO,TAPESTRY,GENUINE PARTS,DOMINOS PIZZA,DECKERS OUTDOOR,APTIV,DRAFTKINGS,BURLINGTON STORES,BEST BUY,LAS VEGAS SANDS,TEXAS ROADHOUSE,RIVIAN AUTOMOTIVE,SOMNIGROUP INTERNATIONAL,RALPH LAUREN,POOL,SERVICE,TOLL BROTHERS,LKQ,ARAMARK,CARMAX,WINGSTOP,DICKS SPORTING,WYNN RESORTS,HASBRO,PLANET FITNESS,TOPBUILD,LITHIA MOTORS,SKECHERS USA,H&R BLOCK,NORWEGIAN CRUISE LINE,MURPHY USA,BRINKER INTERNATIONAL,DUTCH BROS,FLOOR DECOR,MGM RESORTS INTERNATIONAL,BORGWARNER,ETSY,CHURCHILL DOWNS,FIVE BELOW,WYNDHAM HOTELS RESORTS,BATH AND BODY WORKS,MATTEL,SHARKNINJA,CAVA GROUP,GRAND CANYON EDUCATION,STRIDE,VAIL RESORTS,HYATT HOTELS,CAESARS ENTERTAINMENT,TAYLOR MORRISON HOME,CROCS,GROUP AUTOMOTIVE,MOHAWK INDUSTRIES,ADTALEM GLOBAL EDUCATION,URBAN OUTFITTERS,GENTEX,BOOT BARN,MODINE MANUFACTURING,LEAR,AUTONATION,BOYD GAMING,ASBURY AUTOMOTIVE GROUP,MERITAGE,VALVOLINE,SHAKE SHACK,PVH,GAP,WHIRLPOOL,VF,FRONTDOOR,THOR INDUSTRIES,WAYFAIR,ABERCROMBIE AND FITCH,BRUNSWICK,INSTALLED BUILDING PRODUCTS,CHAMPION HOMES,KONTOOR BRANDS,CHOICE HOTELS INTERNATIONAL,DORMAN PRODUCTS,KB HOME,AMER SPORTS,CAVCO INDUSTRIES,SIGNET JEWELERS,ACADEMY SPORTS AND OUTDOORS,ADT,GOODYEAR TIRE & RUBBER,MACYS,GRAHAM  COMPANY,ADVANCE AUTO PARTS,LAUREATE EDUCATION,HILTON GRAND VACATIONS,HARLEY DAVIDSON,M I HOMES,BIRKENSTOCK,TRI POINTE HOMES,YETI,PERDOCEO EDUCATION,PENN ENTERTAINMENT,PELOTON INTERACTIVE,CHEESECAKE FACTORY,LIFE TIME GROUP,MARRIOTT VACATIONS WORLDWIDE,NEWELL BRANDS,LCI INDUSTRIES,POLARIS,VISTEON,LUCID GROUP,WENDYS,STRATEGIC EDUCATION,CAPRI,WARBY PARKER,PHINIA,LA-Z-BOY,COLUMBIA SPORTSWEAR,AMERICAN EAGLE OUTFITTERS,ACUSHNET,FOOT LOCKER,UNIVERSAL TECHNICAL INSTITUTE,GREEN BRICK PARTNERS,STEVEN MADDEN,HANESBRANDS,NATIONAL VISION,UNITED PARKS AND RESORTS,VICTORIA S SECRET,INTERNATIONAL GAME TECHNOLOGY,DILLARDS,PAPA JOHNS INTERNATIONAL,QUANTUMSCAPE,UPBOUND GROUP,ADIENT,WOLVERINE WORLD WIDE,CENTURY COMMUNITIES,SWEETGREEN,EVERI,LEGGETT & PLATT,SONOS,UNDER ARMOUR,WINMARK,COURSERA,SUPER GROUP,CARTERS,LENNAR,FOX FACTORY,LGI HOMES,BUCKLE,BJS RESTAURANTS,WINNEBAGO INDUSTRIES,LOLN EDUCATIONAL SERVICES,CAMPING WORLD,SALLY BEAUTY,OXFORD INDUSTRIES,XPEL,KOHLS,SONIC AUTOMOTIVE,TOPGOLF CALLAWAY BRANDS,GENTHERM,THREDUP,SABRE,REVOLVE GROUP,BEAZER HOMES,DAVE AND BUSTERS ENTERTAINMENT,BUILD A BEAR WORKSHOP,PLAYAGS,HELEN OF TROY,FIGS,BLOOMIN BRANDS,UDEMY,CARRIAGE SERVICES,DREAM FINDERS HOMES,ETHAN ALLEN INTERIORS,ODP,MALIBU BOATS,THE REALREAL,STANDARD MOTOR PRODUCTS,STURM RUGER,GOLDEN ENTERTAINMENT,ACCEL ENTERTAINMENT,SMITH WESSON BRANDS,CALERES,PURSUIT ATTRACTIONS AND HOSPITALIT,HOVNANIAN ENTERPRISES,COOPER STANDARD,LINDBLAD EXPEDITIONS,ARHAUS,LANDSEA HOMES,KURA SUSHI USA,DINE BRANDS GLOBAL,POTBELLY,SHOE CARNIVAL,JACK IN THE BOX,KINDERCARE LEARNING,AMERICAS CAR MART,FIRST WATCH RESTAURANT GROUP,ARKO,HAVERTY FURNITURE,MASTERCRAFT BOAT,EVGO,CRICUT,LOVESAC COMPANY,SAVERS VALUE VILLAGE,BEYOND,MOVADO GROUP,JAKKS PACIFIC,GENESCO,ZUMIEZ,TARGET HOSPITALITY,DENNYS,KRISPY KREME,DESIGNER BRANDS,SLEEP NUMBER,HOOKER FURNISHINGS,SOLID POWER,INSPIRED ENTERTAINMENT,ONEWATER MARINE,OUTDOOR,XPONENTIAL FITNESS,JOHNSON OUTDOORS,EUROPEAN WAX CENTER,CHEGG,STONERIDGE,LESLIES,GROWGENERATION,FUNKO,IROBOT,GOPRO,LUMINAR TECHNOLOGIES
2025-03-07,51,39,73,66,48,59,0,68,76,15,0,64,0,92,73,58,10,54,0,0,83,94,0,44,60,50,56,71,0,33,56,0,59,67,89,90,69,56,0,38,45,19,68,0,32,0,0,64,31,87,74,100,65,63,45,57,0,15,32,0,0,0,29,47,81,0,45,67,100,58,82,1,46,0,49,29,60,0,0,71,24,82,0,0,45,87,0,0,79,48,65,0,93,88,0,0,86,73,53,28,79,66,73,53,0,51,47,90,0,89,0,0,0,49,36,0,0,67,74,0,59,75,75,0,66,68,0,46,82,52,0,0,0,42,69,0,70,0,72,0,0,63,55,33,77,0,46,46,31,66,56,54,0,0,0,47,0,0,0,64,0,39,0,0,0,58,85,0,0,60,66,0,71,60,68,82,66,40,69,47,0,0,52,71,0,72,61,79,0,0,63,74,0,59,0,0,0,50,52,0,41,0,0,0,78,0,91,0,90,0,0,0,0,0,0,0,0,55,0,0,0,46,59,70,0,0,0,0,0,0,40,74,0,0,72,0,62,66,82,0,47,17,69,60,0,51,0,0,38,0,0,77,81,67,26,0,74,35,58,0
2025-03-08,63,48,73,60,64,63,0,78,92,17,0,97,0,77,77,57,13,38,0,0,83,94,0,0,90,70,55,86,0,46,0,0,73,83,61,92,89,72,0,0,59,31,80,0,55,0,0,75,38,73,84,81,65,81,59,82,0,14,38,0,0,0,30,51,70,0,65,100,0,71,86,1,61,0,77,26,0,0,0,81,28,80,0,0,68,61,0,0,81,0,98,0,66,86,72,0,70,100,74,22,90,88,59,0,0,66,63,88,0,75,0,0,0,59,0,0,0,69,67,0,74,0,100,0,78,86,0,60,78,59,0,0,0,74,26,96,0,0,87,0,0,72,0,44,98,0,60,75,37,51,76,48,0,48,0,0,0,0,0,87,0,0,0,0,0,0,82,0,0,80,82,0,66,57,80,82,73,100,84,60,0,0,69,90,0,53,90,0,0,0,76,77,0,47,0,71,0,43,48,58,95,0,0,0,34,0,100,0,0,0,0,0,0,0,0,0,0,79,0,0,0,44,86,89,0,0,0,0,0,0,43,95,0,0,80,0,100,0,95,0,77,24,60,69,0,49,0,0,54,0,0,87,70,57,38,0,89,60,90,0
2025-03-09,61,46,72,63,62,63,0,65,92,15,0,80,0,74,90,44,15,33,0,0,81,100,0,47,79,65,52,85,60,43,0,0,59,100,60,94,91,67,0,0,61,30,76,0,54,0,0,79,37,62,100,76,43,100,62,83,83,15,43,0,0,0,28,60,71,0,67,82,0,0,87,1,70,0,84,25,0,0,0,81,36,94,0,0,58,29,0,0,93,0,100,0,54,65,77,0,76,77,74,0,87,88,55,0,0,70,75,80,0,93,0,0,0,68,0,0,0,94,62,0,76,0,88,0,72,82,0,62,0,64,0,0,0,65,41,0,0,0,86,0,0,72,0,45,100,0,71,60,63,44,72,51,0,0,0,40,0,0,0,90,0,0,0,0,100,62,85,0,0,75,90,0,61,58,91,83,52,51,94,47,0,0,71,92,0,40,77,0,0,0,75,76,0,46,0,0,0,55,37,0,33,0,0,0,25,0,54,0,0,0,0,0,0,0,0,0,0,100,0,0,0,49,93,92,0,0,0,0,0,53,49,96,0,0,78,0,90,0,98,0,76,25,53,64,0,31,0,0,59,0,0,76,76,62,20,0,97,49,80,0
2025-03-10,52,37,78,77,50,52,0,60,76,18,0,67,0,71,80,63,9,38,0,0,81,88,0,44,67,53,47,75,68,28,0,0,69,68,82,97,96,41,0,42,45,25,64,84,25,0,0,63,33,88,93,91,82,84,42,54,0,14,36,0,0,0,36,49,66,0,44,70,0,67,89,1,47,0,52,21,62,0,0,90,53,88,37,0,49,83,0,0,69,53,57,0,94,83,65,0,65,64,45,34,89,73,83,0,100,58,52,87,0,50,0,0,72,55,0,0,0,68,79,0,58,57,70,0,86,73,0,49,66,58,0,0,0,32,75,0,56,0,76,0,0,60,60,34,77,0,54,57,28,62,52,48,0,42,0,82,0,0,0,66,0,0,0,44,0,67,87,0,0,57,69,0,82,56,65,91,67,44,72,0,0,0,55,65,0,71,56,0,0,0,70,71,0,56,0,78,0,66,44,0,41,0,0,0,56,0,62,87,0,0,0,0,0,0,0,61,0,66,0,0,0,46,54,67,0,0,0,0,0,0,42,70,0,0,74,100,76,0,77,0,42,18,53,54,0,64,0,0,49,0,0,68,91,65,28,0,68,31,63,0
2025-03-11,56,36,80,64,52,50,0,59,78,19,71,69,0,85,82,68,11,43,0,0,85,88,0,68,77,51,44,66,88,25,0,0,69,58,82,84,76,39,0,54,45,0,64,0,23,0,0,62,34,93,74,86,92,76,41,52,0,13,34,0,0,0,31,53,69,0,42,75,0,57,86,1,46,0,48,23,0,0,0,92,36,86,0,0,51,78,0,0,66,39,63,0,84,87,0,0,77,64,52,27,79,67,86,0,0,55,55,88,0,84,0,0,70,58,0,0,49,74,80,0,57,71,70,0,86,75,0,50,76,56,0,59,0,31,74,0,88,0,77,0,0,62,76,39,83,0,47,57,92,49,56,61,0,0,0,73,0,0,0,62,0,40,0,0,0,79,89,66,0,56,71,0,89,57,67,85,56,54,75,0,0,0,54,68,0,57,55,74,0,0,65,80,0,48,0,0,0,77,44,0,46,0,0,0,71,64,78,0,0,0,0,0,0,0,0,0,0,63,0,0,0,57,55,68,0,0,0,67,0,0,45,69,0,0,75,0,72,0,74,0,41,19,57,48,0,62,0,0,48,0,0,77,92,70,31,0,60,39,64,0
2025-03-12,54,41,80,76,50,55,0,61,74,22,0,66,0,71,82,64,9,45,0,0,90,92,0,46,67,52,0,68,60,26,58,0,86,63,87,81,63,40,0,100,46,18,63,0,25,0,0,64,35,88,78,89,91,70,40,54,0,13,33,0,0,0,31,52,76,0,48,73,0,51,88,1,43,0,48,23,0,0,0,94,27,83,66,0,100,76,0,0,67,46,60,0,84,91,0,0,87,65,52,33,91,68,73,0,0,56,51,88,0,78,0,0,77,62,0,0,0,64,77,0,63,84,76,0,74,74,0,50,97,60,0,0,0,32,58,0,55,0,74,0,73,61,73,42,84,0,62,49,48,74,54,66,0,0,0,68,0,0,0,67,0,45,0,42,0,51,89,0,0,49,71,0,91,62,70,96,75,37,71,59,0,0,47,62,0,66,56,100,0,0,66,73,0,64,0,0,0,85,46,0,50,0,0,0,76,0,52,0,0,87,0,0,0,0,0,100,0,55,42,0,0,50,58,67,0,0,0,82,0,0,41,73,0,0,71,0,50,0,69,0,42,19,74,56,0,57,0,0,50,0,0,87,89,55,35,0,70,62,55,0
2025-03-13,52,37,75,69,50,52,0,61,76,19,79,64,0,84,79,66,9,46,0,0,87,87,0,48,65,52,39,69,66,25,0,0,65,61,91,87,72,41,0,37,49,17,63,50,26,0,0,59,34,89,71,89,85,71,41,52,0,15,31,0,0,0,28,48,65,78,45,65,0,50,81,1,43,0,61,21,38,0,0,88,27,85,40,0,51,78,0,0,64,68,66,0,83,84,0,0,70,67,50,24,88,60,83,54,0,52,57,83,0,57,0,0,0,52,0,0,37,53,82,0,57,0,84,0,74,73,0,50,76,55,0,0,0,35,53,0,0,0,75,0,0,62,50,41,79,0,44,47,46,60,58,0,0,38,0,64,0,0,0,64,0,55,0,42,0,63,87,0,0,61,67,0,84,60,72,87,75,63,74,0,0,0,45,68,0,72,56,0,0,0,58,86,0,65,0,0,0,46,44,0,39,0,0,0,67,0,53,0,0,0,0,0,0,0,0,59,0,62,0,0,0,57,60,65,79,0,0,0,0,0,41,76,0,0,85,0,53,0,67,0,48,18,53,56,0,53,0,0,45,0,0,83,79,77,35,0,66,57,55,0
2025-03-14,54,42,73,85,52,55,0,66,83,25,99,72,0,68,69,62,9,30,0,0,87,88,73,52,64,56,50,67,63,29,0,0,68,63,74,83,73,75,0,53,48,11,64,50,33,0,0,62,34,87,96,90,57,65,48,58,62,14,33,0,0,0,28,44,84,0,50,67,0,0,81,1,46,0,57,23,32,0,0,78,25,87,0,0,49,73,0,0,62,34,72,0,65,92,59,0,77,71,60,30,85,58,70,0,0,57,50,91,0,77,0,0,0,64,31,0,0,78,73,0,60,0,81,0,73,79,0,52,0,59,0,0,0,43,53,0,62,0,75,0,0,61,73,41,74,0,53,65,52,67,64,41,0,0,0,40,0,0,0,69,0,32,0,0,0,70,86,0,0,61,71,0,71,54,73,84,54,44,78,49,0,0,53,73,0,59,64,0,0,0,73,72,0,51,0,69,0,60,42,0,40,0,0,0,64,0,68,0,0,0,0,0,0,0,0,0,0,56,0,0,0,47,61,73,88,0,0,0,0,0,43,72,0,0,73,0,72,0,75,0,53,22,49,53,0,86,0,0,47,100,0,83,77,68,40,0,69,48,63,0
2025-03-15,63,47,74,66,67,65,0,71,94,19,0,97,0,71,76,47,13,0,0,0,95,93,0,36,77,68,37,80,65,35,0,0,54,81,55,91,78,77,0,0,50,26,76,0,54,0,0,75,39,77,95,69,55,73,61,75,0,15,39,0,0,0,30,53,62,0,66,80,0,0,85,1,61,0,80,24,0,0,0,91,23,86,0,0,51,56,0,0,74,0,92,0,64,81,0,0,80,87,78,0,85,85,60,0,0,64,73,89,0,69,0,0,100,52,0,0,0,63,62,0,76,0,93,0,75,90,0,63,0,66,0,0,0,74,28,0,0,0,92,0,0,70,0,46,93,0,72,51,64,65,100,0,0,0,0,37,0,0,0,84,0,0,0,0,0,0,71,0,0,80,82,0,62,51,93,81,55,69,85,0,0,0,64,93,0,61,73,0,0,0,75,72,0,55,0,84,0,77,51,0,96,0,0,0,35,0,68,0,0,0,0,0,0,0,0,0,0,92,0,0,0,44,91,88,0,0,0,0,0,0,37,88,0,0,80,0,97,86,91,0,81,32,70,69,0,69,0,0,59,0,0,77,74,76,34,0,92,52,86,0
2025-03-16,65,51,73,59,68,74,0,65,100,31,0,75,0,87,88,52,12,0,0,74,89,99,0,0,78,74,0,88,0,36,71,0,57,97,55,87,64,67,0,0,55,25,77,0,47,0,0,84,41,66,88,55,42,67,59,78,0,15,42,0,0,0,26,57,76,0,70,75,0,0,87,1,72,0,79,22,0,0,0,88,15,93,0,0,54,38,0,0,82,0,91,0,65,65,0,0,87,76,79,0,98,88,66,0,0,72,85,85,0,62,0,0,0,44,0,0,0,77,64,0,87,86,83,0,87,81,0,70,70,73,0,0,0,62,52,0,0,0,87,0,0,76,0,47,92,0,64,63,75,69,72,0,0,56,0,0,0,0,0,94,0,0,0,0,0,59,79,0,0,76,91,0,59,53,97,86,43,61,94,68,0,0,56,100,0,55,85,0,0,0,83,77,0,65,0,68,0,58,45,0,39,0,0,0,42,0,59,0,0,0,0,0,0,0,0,0,0,90,0,0,0,47,91,94,0,0,0,0,0,0,37,93,0,0,80,0,94,0,99,0,83,37,71,68,0,34,0,0,60,0,0,70,80,59,48,0,94,52,78,0
2025-03-17,53,38,74,85,51,55,0,58,77,17,0,67,0,74,84,63,12,29,0,0,79,89,0,46,69,50,42,72,0,23,0,0,72,60,74,87,79,42,0,66,48,15,62,52,25,0,0,65,36,90,100,92,68,64,41,50,0,12,46,0,82,0,34,56,67,0,47,65,0,67,90,1,45,93,49,26,41,54,0,84,19,89,45,0,39,75,0,0,67,41,61,0,75,82,0,0,76,64,52,20,94,74,60,56,0,59,61,88,0,67,0,0,0,56,0,0,0,47,79,0,60,59,72,0,85,68,0,50,61,60,0,0,0,33,84,0,0,0,74,0,0,54,51,39,76,0,64,56,62,39,52,62,0,0,0,54,0,0,0,60,0,51,0,62,0,42,79,0,0,57,71,0,81,59,76,82,68,45,76,0,0,0,54,66,0,67,59,0,0,0,65,77,0,88,0,0,0,74,38,0,41,0,0,0,73,79,57,0,0,0,0,0,0,0,0,0,0,69,0,0,0,49,56,67,0,0,0,0,0,0,38,72,0,0,73,0,92,0,71,0,42,43,60,63,0,53,0,0,47,0,0,69,87,63,36,0,68,40,60,86
2025-03-18,55,37,77,79,51,52,0,58,74,24,0,65,0,79,81,84,9,46,0,0,87,89,0,52,67,50,50,66,0,24,0,0,75,62,80,87,84,38,0,54,50,12,60,0,23,0,0,63,37,92,76,96,76,64,40,52,0,16,37,0,0,0,31,53,77,0,47,67,0,60,83,1,44,0,47,26,34,0,0,92,33,90,0,0,40,83,74,0,67,79,55,0,90,85,0,0,84,61,46,23,83,67,57,57,0,53,60,91,0,58,0,0,87,71,32,0,0,38,81,0,55,76,66,0,96,71,0,51,71,61,0,0,0,34,55,0,77,0,72,0,61,56,92,44,80,0,89,42,42,69,54,39,0,47,0,76,0,0,0,64,0,0,0,39,0,38,90,0,0,59,67,0,89,87,72,89,71,49,79,0,0,0,53,66,0,78,58,0,0,0,62,89,0,57,0,0,0,54,44,0,41,0,0,0,100,0,60,0,0,0,0,0,0,0,0,0,0,61,0,0,0,56,52,63,94,0,0,0,0,0,59,72,0,0,70,0,62,75,76,0,44,22,61,53,0,75,0,0,47,0,0,67,94,62,43,0,71,44,59,100
2025-03-19,54,37,90,72,51,54,0,61,77,19,66,59,0,88,86,70,9,74,0,0,87,89,0,53,67,51,49,63,77,24,0,0,79,64,77,94,83,43,0,50,54,20,61,82,25,0,0,63,38,92,90,96,95,66,40,51,0,14,34,0,0,0,30,55,79,0,47,63,74,56,86,2,45,0,46,22,61,0,0,100,25,85,40,0,41,73,0,0,62,68,55,0,94,84,0,0,92,64,52,0,79,64,83,64,0,56,54,87,0,63,0,0,73,39,35,0,100,47,81,0,57,85,68,0,90,69,0,50,0,57,0,0,0,35,52,0,100,0,73,0,0,55,83,41,76,0,55,50,35,68,50,44,0,0,0,100,0,0,0,66,0,55,0,45,0,0,94,0,0,61,66,0,86,60,81,89,43,34,75,0,0,0,51,61,0,76,60,0,0,0,67,77,0,59,0,0,0,56,45,44,45,0,0,0,96,0,81,0,0,0,0,0,0,0,0,0,0,56,0,0,0,51,57,66,0,0,0,0,0,0,43,73,0,0,76,0,79,0,71,0,45,21,58,54,0,50,0,0,47,80,0,68,83,70,29,0,76,32,62,0
2025-03-20,54,39,78,69,51,51,0,60,76,17,100,61,0,85,84,74,9,39,0,0,84,88,0,61,64,51,97,69,71,23,56,0,80,56,75,86,99,44,0,74,66,19,60,80,25,0,0,59,36,86,86,84,100,63,41,54,100,14,35,0,89,0,27,48,73,0,44,63,0,75,79,1,43,0,50,26,41,0,100,86,20,86,45,0,40,81,0,0,62,44,61,0,86,81,57,0,86,62,52,0,83,64,73,50,0,56,52,84,0,80,0,0,0,66,0,0,50,69,74,0,62,59,83,0,72,71,0,50,100,57,0,0,0,39,51,0,61,0,70,0,0,61,71,43,71,0,65,64,57,61,54,39,0,56,0,65,0,0,0,66,0,29,0,50,0,61,81,0,0,55,66,0,81,81,78,97,32,35,79,40,0,0,54,67,0,82,60,0,0,0,71,82,0,83,0,57,0,69,43,0,41,0,65,0,80,0,54,0,0,0,0,0,0,0,0,0,0,53,0,0,0,55,51,68,78,0,0,0,0,0,45,72,0,0,83,0,63,0,60,0,42,20,70,56,0,70,0,0,44,0,0,68,77,64,39,0,71,41,58,0
2025-03-21,54,44,70,67,51,54,0,74,75,100,0,65,0,99,75,73,11,26,0,0,79,88,0,69,61,53,37,69,76,25,0,0,68,63,72,94,67,56,0,58,65,16,64,0,36,0,0,63,36,87,78,83,78,66,45,58,0,14,32,0,0,0,27,44,57,0,47,63,0,54,77,1,48,0,56,24,39,0,84,84,20,75,37,0,43,76,0,0,66,49,71,0,66,80,77,0,71,72,61,21,79,65,56,53,0,57,55,88,0,65,0,0,0,47,0,0,40,64,77,0,66,60,70,0,89,70,0,49,63,54,0,0,0,50,47,0,67,0,72,0,0,63,67,43,77,0,59,64,41,68,53,0,0,0,0,72,0,0,0,64,0,38,0,0,0,49,79,0,0,54,65,0,69,47,76,89,62,54,78,100,0,0,57,73,0,58,59,0,0,0,73,90,0,92,0,87,0,71,74,0,54,0,0,0,64,0,66,0,0,0,0,0,0,0,0,57,0,62,0,0,0,50,58,68,0,0,0,0,0,0,48,73,0,0,81,0,0,0,65,0,52,18,45,55,0,41,0,0,46,0,100,79,66,74,47,0,73,40,61,0
2025-03-22,68,51,69,63,71,64,0,72,89,34,0,91,0,69,78,53,14,40,0,0,86,90,0,32,79,71,45,83,0,29,0,0,68,81,57,86,68,71,0,0,64,26,73,0,49,0,0,73,43,75,69,82,52,73,60,80,0,14,40,0,0,0,29,56,73,0,66,78,0,0,80,1,63,0,88,27,0,0,0,83,25,79,0,0,50,62,0,0,81,57,85,0,61,81,0,0,66,86,79,0,85,91,49,0,0,70,67,91,0,72,0,0,0,59,0,0,0,57,60,0,79,0,90,0,79,90,0,64,0,60,0,0,0,77,26,0,0,0,100,0,0,71,0,55,91,0,100,69,74,65,67,0,0,54,0,46,0,0,0,87,0,46,0,0,0,78,71,0,0,89,83,0,63,35,81,79,46,70,87,54,0,0,69,89,0,58,85,0,0,0,74,82,0,0,0,75,0,48,58,0,98,0,0,0,36,0,48,100,0,0,0,0,0,0,0,0,0,82,0,0,0,48,87,87,0,0,0,85,0,0,48,88,0,0,79,0,59,0,85,0,74,26,65,61,0,36,0,0,67,0,0,83,73,73,43,0,90,44,92,0
2025-03-23,71,52,74,61,70,63,0,65,93,26,0,77,0,48,90,54,12,0,0,0,82,92,0,43,79,73,0,86,0,24,0,0,61,83,57,95,94,70,0,0,57,17,72,0,46,0,0,87,44,62,94,67,49,66,57,100,0,12,40,0,0,0,27,56,73,0,68,81,0,0,88,1,67,0,92,26,0,0,0,89,19,100,0,0,63,37,0,0,82,38,93,0,53,57,0,0,62,72,85,0,88,89,55,0,0,73,70,82,0,62,0,0,0,0,0,0,0,75,54,0,83,0,88,0,76,86,0,70,74,72,0,0,0,64,40,0,0,0,89,0,0,79,0,56,97,0,66,80,56,74,65,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,74,0,0,80,89,0,74,43,91,81,41,50,94,66,0,0,62,99,0,45,100,0,0,0,95,80,0,59,0,0,0,0,45,53,79,0,0,0,26,0,45,0,0,0,0,0,0,0,0,0,0,91,0,0,0,46,77,87,0,0,0,0,0,0,37,90,0,0,86,0,0,0,88,0,79,28,87,59,0,53,0,0,72,0,0,68,76,68,46,0,100,49,79,0
2025-03-24,55,41,74,76,52,48,0,59,74,23,0,59,0,83,83,65,9,53,0,0,82,89,50,54,70,48,70,75,65,16,53,0,86,65,77,92,81,44,0,54,46,20,62,51,24,0,0,67,40,95,90,91,83,66,40,55,0,12,34,0,0,0,34,53,69,0,44,65,0,51,84,1,45,0,53,23,0,0,0,82,22,87,49,0,42,84,0,0,67,38,57,0,86,84,0,0,75,61,49,21,81,76,85,0,0,61,52,90,0,61,0,0,0,86,0,0,41,52,75,0,57,64,61,0,90,64,0,51,55,59,0,0,0,33,75,0,72,0,75,0,58,56,55,47,76,0,60,44,48,74,49,48,0,41,0,55,0,0,0,68,0,49,0,0,0,47,69,0,0,58,69,0,82,57,65,92,50,48,81,0,0,0,57,68,0,73,64,55,0,0,82,74,0,59,0,100,0,60,37,0,43,0,0,0,87,0,73,82,0,0,0,0,0,0,0,0,0,63,42,0,0,42,50,62,0,0,0,0,0,0,53,71,0,0,70,0,65,89,71,0,47,16,76,58,0,80,0,0,51,0,0,65,94,66,39,0,68,44,66,0
2025-03-25,54,36,79,72,52,56,0,58,70,25,0,62,0,76,81,70,8,51,0,0,82,90,0,61,65,48,43,67,81,21,64,0,74,64,79,91,67,38,0,59,44,11,62,55,22,100,0,61,38,90,95,95,85,65,92,53,0,15,32,0,0,0,32,50,65,50,44,69,0,0,87,1,44,0,44,27,63,0,0,86,20,83,48,0,41,81,88,0,66,40,55,0,87,84,74,100,68,60,45,33,80,65,79,0,0,58,48,83,0,84,0,0,0,100,0,0,0,50,72,0,60,74,67,0,92,74,0,50,0,63,0,0,0,28,54,0,61,0,72,0,0,54,0,45,83,0,67,37,40,70,46,55,0,43,0,87,0,0,0,63,0,0,0,80,0,53,85,0,0,54,66,0,100,57,76,98,54,52,74,0,0,0,56,63,0,62,58,0,0,0,75,75,0,40,0,0,0,77,47,45,65,0,68,0,81,0,63,0,0,0,0,0,44,0,0,0,0,56,39,0,0,45,60,59,0,0,0,0,0,0,49,70,0,0,77,0,56,0,67,0,52,16,69,53,0,61,0,0,50,0,0,80,88,69,27,0,62,35,61,66
